work	n_chunks	median	p25	p75	title
SA_T01_n885u	1	654	654	654	Kamalākarasarvatathāgatastotra
SA_T03_bsa051_u	96	655	553	775	Sāratamā [āryāṣṭasāhasrikāyāḥ prajñāpāramitāyāḥ sāratamākhyā pañjikā]
SA_K12_manivdhu	1	655	655	655	Mahāmaṇivipulavimānaviśvasupratiṣṭhitaguhyaparamarahasyakalparājadhāraṇī [Mahāmaṇivipulavimānaviśvasupratiṣṭhitaguhyaparamarahasyakalparājadhāraṇīsūtra]
SA_GK16_kavsuvr	46	656	646	667	Kāvyālaṃkāra-sūtra-vṛtti
SA_MB_akulaviiratantramHK	4	657	588	784	matsyendrānātha: akulavīratantra
SA_T02_Mañjuśrīyaśa_Laghukālacakratantra-Vimalaprabhā-Vol2_Dwivedi-Bahulkar_1994	72	661	574	775	
SA_MB_m.rtyunjayakalpaHK	25	662	603	837	Unknown: mṛtyuñjayakalpa
SA_GR13_malinivu	26	662	615	750	Mālinīvijayottaratantra
SA_GR14_yamsr_pu	2	662	635	690	Stotraratna
SA_K10_n552u	2	662	658	667	Āryābuddhabalādhānaprātihāryavikurvaṇanirdeśanāma mahāyānasūtra
SA_MB_makutaagamaHK	42	663	486	804	Unknown: makuṭāgama
SA_GK19_bahcar8u	8	663	619	705	Harṣacarita: Ucchvāsa 8
SA_K12_madadh_u	2	664	627	700	Mahādaṇḍadhāraṇīśītavatī
SA_GP12_brndp3_u	86	665	545	841	Brahmāṇḍa-Purāṇa 3
SA_T02_nagpindu	5	665	466	751	Piṇḍīkrama
SA_T02_n2912u	3	665	633	922	Prajñopāyaviniścayasiddhi
SA_GK19_bahcar7u	7	665	604	726	Harṣacarita: Ucchvāsa 7
SA_T14_nagcitpu	7	667	585	783	Citralakṣaṇa
SA_GP10_bhp_06u	18	668	552	751	Bhāgavata-Purāṇa 6
SA_MB_dattatreyabodhaHK	3	669	646	684	Unknown: dattātreyabodha
SA_K12_mprsvdhu	3	669	641	734	Mahāpratisarāvidyādhāraṇī
SA_T01_n895u	1	670	670	670	Mahogratārāstuti
SA_GSP28_prakp05u	2	671	658	683	Prakaraṇapañcikā: Prakaraṇa 5
SA_T14_n1279u	4	671	534	826	Ātreyatilaka
SA_K08_bsu062_u	84	672	582	775	Guṇakāraṇḍavyūhasūtra
SA_MB_kubjikaatantramHK	17	673	590	774	Unknown: kubjikātantra
SA_T15_n1144u	3	674	520	900	Nītiśāstra
SA_MB_paraatantraHK	12	674	612	755	Unknown: paraatantra
SA_GK22_vispancu	81	677	569	773	Pañcatantra
SA_GK16_bhakavpu	12	679	650	702	Kāvyālaṃkāra
SA_GV06_kauthgsu	3	679	635	733	Kauthuma-Gṛhyasūtra
SA_GK19_nkalivpu	2	680	661	700	Kaliviḍambana
SA_T01_n835u	1	681	681	681	Cakrasaṃvarastuti
SA_T11_bsa064_u	15	681	605	842	Vādanyāya
SA_GP12_skprevku	136	682	561	835	Skanda-Purāṇa: Revākhaṇḍa
SA_K10_kathinau	6	682	648	708	Kaṭhināvadāna
SA_MB_vatulottaraHK	41	682	590	780	Unknown: vatullotarāgama
SA_T02_n2955u	2	683	682	683	Kriyāsaṁgrahapañjikā
SA_K10_ahovcs_u	8	683	603	770	Ahorātravratacaityasevānuśaṃsāvadāna
SA_MB_yogapiithakramodayaHK	14	684	604	763	Unknown: yogapīṭhakramodaya
SA_GP10_bhp_04u	30	684	599	785	Bhāgavata-Purāṇa 4
SA_GP10_bhp_08u	20	685	568	779	Bhāgavata-Purāṇa 8
SA_MB_saktisa.mgamatantra_kalikhandaHK	37	685	568	838	Unknown: śaktisaṃgamatantra kālīkhanda
SA_GR13_todaltpu	8	686	542	811	Toḍalatantra
SA_T02_Abhayākaragupta_Kālacakrāvatāra_Mishra_2016	3	687	661	782	
SA_MB_Isaanapaddhati-I-HK	36	687	595	807	īśānaśivagurudeva: īśānaśivagurudevapaddhati Volume 1
SA_T11_bsa071_u	7	687	669	721	Hetubindu
SA_K10_arthaviniscaya	28	688	461	837	Arthaviniścayasūtra + Nibandhana
SA_GK19_jagsudhu	1	689	689	689	Sudhālaharī
SA_GR13_mabhedtu	12	689	633	939	Mātṛkābhedatantra
SA_T01_n853u	1	691	691	691	Mañjuśrīnāmāṣṭottaraśatakastotra [Āryamañjuśrīnāmāṣṭottaraśatakastotra]
SA_T13_n2940u	6	692	659	745	Triratnasaundaryagāthā
SA_GSP33_ramvaspu	17	693	375	893	Vedārthasaṃgraha
SA_GSP28_prakp08u	7	693	644	896	Prakaraṇapañcikā: Prakaraṇa 8
SA_K14_ahovk2_u	2	695	671	718	Ahorātravratakathā 2
SA_T13_bghsic_u	14	695	647	755	Siddhārthacaritrakāvya
SA_MB_kaamadhenutantraHK	14	695	618	808	Unknown: kāmadhenutantra
SA_T04_bsa016_u	2	696	675	716	Śūnyatāsaptati
SA_T11_dhkprvku	23	696	620	766	Pramāṇavārttikakārikā
SA_MB_ugracandapujapaddhatiHK	5	696	611	709	Unknown: ugracaṇḍapūjāpaddhati
SA_GR13_bijnighu	2	696	650	743	Bījanighaṇṭu
SA_MB_pratisthalaksanasarasamuccayaHK	71	697	593	816	Unknown: pratiṣṭhālakṣaṇasārasamuccaya
SA_GS41_tikaniku	3	697	670	698	Tikanikayātrā
SA_GK19_bankad1u	17	697	640	779	Kādambarī
SA_K10_bsu061_u	37	698	612	788	Vimalakīrtinirdeśasūtra [Vimalakīrtinirdeśa]
SA_T02_n1424u	9	698	577	777	Śrīguhyasamājamaṇḍalavidhi
SA_K07_sukhvylu	24	698	612	810	Sukhāvatīvyūha
SA_MB_siddhilak.smii-aramikaHK	13	699	637	896	Unknown: siddhilakṣmī ārāmika
SA_T11_bsa069_u	12	699	499	822	Tarkaśāstra
SA_GK19_bahcar1u	8	699	612	762	
SA_GS41_bijaganu	4	700	692	710	Bījagaṇita
SA_MB_candrajnanagamaHK	24	700	533	1056	Unknown: candrajñānāgama
SA_T01_naglok_u	1	700	700	700	Lokātītastava
SA_GV06_apastgcu	92	701	560	885	Āpastamba-Gṛhyasūtra
SA_T01_rahppspu	1	701	701	701	Prajñāpāramitāstotra
SA_T01_n882u	1	701	701	701	Saptabuddhastotra
SA_GR13_devikapu	2	701	648	755	Devīkālottara-Āgama
SA_GK19_bahcar6u	7	701	684	782	Harṣacarita: Ucchvāsa 6
SA_GSP31_sparibhu	6	702	500	1031	Sāṃkhyaparibhāṣā
SA_T06_n1290u	4	702	666	738	Bāhyarthasiddhikārikānāma
SA_T02_Anonymous_Kālacakrapūjāvidhi_RBTRD_2014	10	702	574	879	
SA_MB_agnikaaryapaddhatiHK.	32	702	553	747	Unknown: agnikāryapaddhati
SA_MB_iisaanagurudevapaddhati-III-HK	72	702	603	858	īśānaśivagurudeva: īśānaśivagurudevapaddhati Volume 3
SA_GS41_lilavatu	20	702	694	710	Līlāvatī
SA_T11_bsa059_u	2	703	632	774	Santānāntarasiddhi
SA_T03_bsa031_u	22	704	653	737	Abhisamayālaṅkāravṛttiḥ sphuṭārthā
SA_T06_sthmavtyg	53	704	589	797	Madhyāntavibhāgaṭīkā (Yamaguchi)
SA_T10_cansisyu	3	704	692	887	Śiṣyalekha
SA_MB_JnanarnavaTantraHK	34	705	605	930	Unknown: jñānārṇavatantra
SA_MB_brhannilatantram-HK	56	706	627	835	Unknown: bṛhannīlatantra
SA_T04_n1003u	21	706	642	751	Madhyamakahṛdaya
SA_GK19_uddkokpu	4	707	643	739	Kokilasandeśa
SA_MB_mahaaguhyakaaliividhaanamHK	5	707	679	779	Unknown: mahāguhyakālīvidhānam
SA_MB_kaulajnaananirnayaHK	15	708	650	858	matsyendrānātha: kaulajñānanirṇaya
SA_GV05_agsas_2u	4	708	398	850	Āgamaśāstra 2: Vaitathyaprakaraṇa
SA_GP10_bhp_12u	12	709	658	825	Bhāgavata-Purāṇa 12
SA_GSP33_bhbhg_cu	80	709	696	725	Bhagavadāśayānusaraṇabhāsya
SA_MB_haharavatantraHK	82	710	492	837	Unknown: hāhārāvatantra
SA_GP10_bhp_09u	20	710	630	743	Bhāgavata-Purāṇa 9
SA_GS40_rasadhpu	12	711	623	776	Rasādhyāya
SA_MB_karanagamaHK	18	711	638	814	Unknown: karaṇāgama
SA_T01_n862u	1	712	712	712	Pratisarāstotra
SA_MB_uddamaresvaratantramHK	20	712	654	928	Unknown: uḍḍāmeśvaratantra
SA_GK22_vispancu_e	26	713	614	802	Pañcatantra
SA_T02_Abhayākaragupta_Kālacakrāvatāra_Unknown_Unknown	3	713	693	844	
SA_GS40_vrasrs_u	24	714	651	816	Rasaratnasamuccaya
SA_T02_n2965u	3	714	666	808	Kālacakrāvatāra
SA_T01_n910u	1	714	714	714	Vajrayoginyāḥ stutipraṇidhānam
SA_MB_viiraagamaHK	82	715	620	933	Unknown: vīrāgama
SA_K14_n192u	22	717	668	857	Mahāsattvamaṇicūḍamahārājabodhisattvāvadāna
SA_GSP31_tattvmiu	3	718	705	872	Tattvamīmāṃsā
SA_GSP31_tatsuvru	5	718	552	978	Tattvasamāsasūtravṛtti [Kramadīpikā]
SA_T17_n2944u	36	718	619	761	Viśvaprakāśa
SA_MB_acintyavisvasadakhyaHK	135	718	579	853	Unknown: acintyaviśvasādākhyam
SA_MB_vijayottaratantraHK	15	720	691	807	Unknown: vijayottaratantra
SA_GE07_bhg4c08u	11	720	569	948	Bhagavadgītā 8
SA_MB_aniruddhasamhitaaHK	38	722	608	1001	Unknown: aniruddhasaṃhitā
SA_MB_Kulapradiipa-HK	23	723	682	850	śivānandācārya: kulapradīpa
SA_GP10_bhp_10u	87	723	616	817	Bhāgavata-Purāṇa 10
SA_MB_jayakhyasamhitaHK	106	725	632	859	Unknown: jayākhyasaṃhitā
SA_MB_vijnanabhairavaHK	3	725	703	783	Unknown: vijñānabhairava
SA_GSP28_mimslovu	70	727	707	756	Mīmāṃsāślokavārttika
SA_GK19_bahcar	50	728	670	805	Harṣacarita
SA_K02_bsu057_u	1	728	728	728	Advayaśatikā Prajñāpāramitāsūtra
SA_MB_urddhvamnayapujavidhiHK	12	730	673	759	Unknown: urddhvāmnāyapūjāvidhi
SA_GP10_bhp_03u	31	730	516	809	Bhāgavata-Purāṇa 3
SA_MB_visvasaaratantramHK	81	731	603	850	Unknown: visvasāratantra
SA_MB_kalasaarcanavidhiHK	8	732	696	820	Unknown: kalaśārcanavidhi of siddhalakṣmīdevī
SA_MB_phetkaariniitantramHK	31	732	637	887	Unknown: phetkāriṇītantra
SA_T04_sanssr	84	734	716	747	Śikṣāsamuccaya
SA_T04_acatstvu	2	734	642	827	Catuḥstavasamāsārtha [Catuḥstavasamārtha]
SA_MB_yogajagamaHK	40	736	610	976	Unknown: yogajāgama
SA_GSP31_stk	87	736	507	1048	Sāṃkhyatattvakaumudī
SA_T01_n901u	1	736	736	736	Māravijayastotra
SA_GS40_samapviu	21	737	660	847	Āyurvedamahodadhau Annapānavidhi
SA_K01_n2892u	6	737	564	904	Vajrasatvapārājikā [Vajrasattvapārājikā]
SA_K10_sjdh_u	4	738	609	886	Sarvajñatākāradhāraṇī [Karuṇāpuṇḍarīka(sūtra)]
SA_MB_TridasadaamaraapratyaHK	36	738	597	873	Unknown: tridaśaḍāmarāpratyaṅgirāviśayakanānātantra
SA_T04_n2980u	8	739	684	836	Madhyamakāvatārakārikā
SA_T01_n869u	1	739	739	739	Buddhagadyaya [Buddhagajjaya]
SA_MB_kaalottaratantramHK	105	740	571	883	Unknown: kāllotara
SA_GS40_rasadh_u	21	740	653	853	Rasādhyāya
SA_T01_n824u	1	740	740	740	Rakṣākāla(kara)stava
SA_GP10_bhp_02u	9	742	636	802	Bhāgavata-Purāṇa 2
SA_GS40_nitrrk_u	83	742	580	998	Rasaratnākara
SA_K10_n446u	2	742	714	771	Meghasūtra
SA_K14_pamsuavu	1	744	744	744	Pāṃśupradāna-avadāna
SA_MB_kulasaraHK	18	745	718	858	Unknown: kulasāra
SA_T01_n867u	5	746	728	1047	Bhaktiśataka
SA_T09_gopjatmu	35	747	677	806	Jātakamālā [Ajātaśatrvavadāna]
SA_K14_ahovk1_u	3	747	745	794	Ahorātravratakathā 1
SA_GP12_vprevk_u	163	748	554	899	Revākhaṇḍa of the Vāyupurāṇa
SA_GS40_vagaah_u	183	748	735	762	Aṣṭāṅgahṛdayasūtra
SA_T02_Candrakīrti_Pradīpoddyotana-Guhyasamājatantra_Chakravarti_1984	62	748	636	816	
SA_T01_n875u	1	748	748	748	Śākyasiṃhastotra: navagrahakṛtam
SA_T02_Nāropā_Sekoddeśaṭīkā_Carelli_1941	22	749	684	820	
SA_MB_Pranatosini_4_KamyaKandaHK	61	749	656	904	rāmatoṣaṇa compiler: prāṇatoṣiṇī kamyakāṇḍa
SA_T11_n1238u	2	750	686	814	Jātinirākṛti
SA_MB_purascaryaarnava-2-HK	91	750	631	882	Unknown: puraścaryārṇava volume 2
SA_MB_RudraYamalaHK	157	750	621	871	Unknown: rudrayamalatantra uttarakāṇḍa
SA_T03_n1146u	149	751	742	760	Abhisamayālaṃkārāloka [Abhisamayālaṅkārāloka]
SA_T11_arhebt_u	65	751	743	770	Hetubinduṭīkā
SA_GK19_maghspvu	33	751	680	799	Śiśupālavadha
SA_MB_durgarcanasrtiHK	89	752	602	864	lakṣmīnārāyaṇa goswāmī: durgārcanaṣṛti
SA_T10_subhrk_u	6	752	539	847	Subhāṣitaratnakaraṇḍakathā
SA_MB_parakramapujaHK	30	753	603	884	Unknown: parākramapūjā
SA_T04_nagyuksu	1	753	753	753	Yuktiṣaṣṭikārikā
SA_T11_arhebt2u	60	754	733	767	Hetubinduṭīkā
SA_T08_jsphustu	21	755	728	767	Sphuṭārthā Śrīghanācārasaṃgrahaṭīkā
SA_GSP28_prakp14u	2	756	659	852	Prakaraṇapañcikā: Prakaraṇa 14
SA_T17_n958u	43	757	612	898	Bauddhatantrakośa I
SA_T04_bsa003_u	19	758	731	770	Bodhicaryāvatāra [Bodhisattvacaryāvatāra]
SA_GR14_satvtanu	13	758	671	842	Sātvatatantra
SA_MB_maliniivijayottaraHK	28	758	638	820	Unknown: mālinīvijayottaratantra
SA_T02_Advayavajra_saṃgraha_Bhattacharyya_1927	10	759	680	915	
SA_T04_bsa004_u	2	759	735	783	Bodhipathapradīpa
SA_GK19_bahcar3u	8	759	652	903	Harṣacarita: Ucchvāsa 3
SA_T01_n877u	1	759	759	759	Śākyasiṃhastotra: surapatikṛtam
SA_GR12_hsasvrpu	15	759	751	769	Śāstravārtāsamuccaya
SA_MB_saaktapramodaHK	152	760	639	889	devanandanasiṃha: śāktapramoda
SA_T11_bsa002_u	1	760	760	760	Ālambanaparīkṣāvṛtti
SA_GK21_hitop_u	38	760	745	772	Hitopadeśa
SA_T11_sbpramvu	19	760	744	782	Pramāṇavārttikaṭīkā
SA_MB_sriitatvanidhiHK	112	761	626	965	kṛṣṇarāja vodeyar: śrītattvanidhiḥ
SA_T04_santbcpu	19	761	740	790	Bodhicaryāvatāra [Bodhisattvacaryāvatāra]
SA_T02_khasrpsu	1	761	761	761	Khasarpaṇasādhana
SA_MB_taaraatantramHK	6	762	618	952	Unknown: tāratantra
SA_K10_sukhvysu	2	762	687	836	Sukhāvatyamṛtavyūha [Sukhāvatī(amṛta)vyūhasūtra] aka the Smaller Sukhāvatīvyūha
SA_GK19_gp01-11u	49	762	678	840	Gopālacampū: Pūrvacampū, 1-11
SA_GS39_jyopancu	7	762	609	831	Pañcasāyaka
SA_GP10_bhp_07u	17	762	646	823	Bhāgavata-Purāṇa 7
SA_GK19_jalmugpu	2	763	722	805	Mugdhopadeśa
SA_MB_subodhamanjariHK	1	764	764	764	Unknown: subodhamañjarī
SA_MB_TantracintamaniHK	185	765	615	887	navamīsiṃha: tantracintāmaṇi
SA_MB_niruttaravadaHK	5	765	634	871	Unknown: niruttaravāda
SA_GSP30_mabhai	138	766	605	897	Manthanabhairava Tantra
SA_T01_n852u	1	767	767	767	Vajramahākālastotra
SA_MB_TattvaratnaavaliiHK	8	767	722	799	vimalaśiva: tattvaratnāvalī
SA_K01_n2904u	3	767	662	807	Lokeśvarapārājikā
SA_MB_taaraabhaktisudhaarnavaHK	131	768	650	931	narasiṃhaṭhakkura: tārābhaktisudhārṇava
SA_GSP34_ghers_pu	16	768	677	994	Gheraṇḍa-Saṃhitā
SA_T05_n1110u	9	768	682	833	Bodhyāpattideśanāvṛtti
SA_T01_n812u	1	769	769	769	Avadhānastotra [Vandanāstava]
SA_T14_tarkrplu	4	769	634	883	Pratyakṣalakṣaṇa
SA_MB_KulasaaraHK	7	769	658	774	Unknown: kulasāra
SA_MB_pauskarasamhitaHK	120	770	663	900	Unknown: pauṣkara saṃhitā
SA_T02_rabhramu	3	770	755	772	Bhramaharanāma Hevajrasādhana
SA_GSP30_vijnbhau	3	770	734	818	Vijñānabhairava
SA_T01_n804u	3	771	761	825	Vikramāraccivaibhava
SA_GR14_harinc_u	25	772	673	835	Harināmacintāmaṇi
SA_GK19_gu01-03u	9	772	665	790	Gopālacampū: Uttaracampū, 1-3
SA_T04_n848u	1	772	772	772	Niraupamyastava
SA_T04_bsa008_u	1	772	772	772	Garbhasaṅgraha
SA_GK19_mala	91	773	756	792	Mālatīmādhava
SA_GSP28_ktv_2-1u	7	773	645	822	Tantravārttika 2.1.1–4
SA_MB_TridasadaamaratantresiddhikaaliistotramHK	12	773	592	910	Unknown: tridaśaḍāmaratantre siddhikaalīstotra
SA_GK19_gp23-33u	43	774	726	842	Gopālacampū: Pūrvacampū, 23-33
SA_MB_kulanandadiHK	7	774	619	922	Unknown: kulānandādi
SA_MB_kramadipikaHK	17	775	750	829	śrīrasikamohana caṭṭopādhyāya: kramadīpikā
SA_T11_bsa066_u	12	775	755	799	Nyāyapraveśapravṛtti
SA_T02_n2932u	5	776	745	817	Adhyātmasāraśataka [Adhyātmasāraśatakasaṭīka]
SA_GK17_kedvratu	3	777	736	978	Vṛttaratnākara
SA_GR13_mrgt4mpu	2	778	767	788	Mṛgendrāgama [Mṛgendratantra]: 4. Yogapāda
SA_MB_mahaalak.smiidiipadaanavidhiHK	9	780	701	1017	Unknown: mahālakṣmīdīpadānavidhiḥ
SA_MB_madhyapii.thapujavidhiHK	7	781	725	860	Unknown: madhyapīṭhapūjāvidhi
SA_T02_n798u	3	781	735	869	Ḍākinījālasaṃvararahasya
SA_MB_svacchandapaddhatiHK	45	781	722	920	cidānandanātha: svacchandapaddhati
SA_GK21_brkas_pu	180	782	672	869	Bṛhatkathāślokasaṃgraha
SA_MB_purascaryaarnava-3-HK	117	782	655	952	Unknown: puraścaryārṇava volume 3
SA_GSP29_vnyps00u	2	782	759	805	Nyāyapariśuddhi: Bhūmikā
SA_T01_n829u	1	783	783	783	Saptavidhānuttarastotra
SA_T11_bsa063_u	2	783	738	828	Sambandhaparīkṣā
SA_T13_n3004u	1	783	783	783	Paścāttāpa
SA_MB_kulamuktikalloliniHK	217	784	627	941	navamīsiṃha: kulamuktikallolinī
SA_T15_bsa060_u	2	784	765	803	Śatagāthā
SA_MB_mohacudottaramHK	23	785	672	973	Unknown: mohacūḍottara
SA_MB_sakalaagamasaarasangrahaHK	62	785	654	954	Unknown: sakalāgamasārasaṅgraha
SA_T03_knavslou	1	785	785	785	Navaślokī
SA_T11_pramanvu	29	785	698	860	Pramāṇavārttika
SA_T02_n2988u	12	786	680	907	Jñānasiddhi
SA_GR14_muktacau	27	787	634	879	Muktācarita
SA_MB_tararahasyaHK	22	788	675	955	brahmānanda: tārārahasya
SA_MB_sadhanamala1IHK	63	788	704	859	benoytosh bhattacharya: sādhanamālā Vol. 1
SA_T11_dhknyayu	4	788	738	859	Nyāyabindu
SA_GK16_vamkalsu	4	790	783	795	Kāvyālaṅkārasūtra
SA_T02_n2886u	11	791	725	893	Samājasādhanavyavastholi
SA_MB_makutaagama_viirasaivaHK	11	791	631	916	Unknown: makuṭāgama vīraśaiva rescension
SA_MB_goraksagutikaHK	11	792	640	916	gorakṣanātha: gorakṣaguṭikā
SA_GK19_gp12-22u	46	792	675	898	Gopālacampū: Pūrvacampū, 12-22
SA_T11_dhkpvsvu	66	793	736	873	Pramāṇavārttikavṛtti [Pramāṇavārttikasvavṛtti]
SA_MB_Pranatosini_2_DharmaKandaHK	48	793	665	961	rāmatoṣaṇa compiler: prāṇatoṣiṇī dharmakāṇḍa
SA_MB_agamakalpalataHK	188	793	662	928	yadunātha: āgamakalpalatā
SA_GS26_sbhami_u	3	795	709	914	Āptamīmāṃsā
SA_T01_n842u	2	796	752	840	Buddhagaṇḍīstava
SA_K10_bsu025_u	1	796	796	796	Nairātmyaparipṛcchāmahāyānasūtra
SA_MB_nisvaasakaarikaatantram1HK	63	796	585	1045	Unknown: nisvāsakārikā
SA_T02_Saroruha_Hevajra_Gerloff_2017	3	797	787	878	
SA_MB_kriyaasaara2HK	138	797	633	955	nīlakaṇṭha: kriyāsāra volume 2
SA_GSP33_brsvbh3u	36	797	725	984	Brahmasūtra: Adhyāya 3
SA_T17_vtrksopu	9	798	730	933	Tarkasopāna
SA_MB_mahaanirvaanatantramHK	119	798	668	964	Unknown: mahānirvānatantra
SA_MB_kaulaavaliinirnayaHK	83	799	656	937	jñānānandaparamahaṃsa: kaulāvalīnirṇaya
SA_GP10_bhp_11u	29	799	670	953	Bhāgavata-Purāṇa 11
SA_GSP33_yamsvspu	5	800	762	869	Saṃvitsiddhi
SA_MB_cinmayadiksavidhanamHK	9	800	705	834	Unknown: cinmayadīkṣāvidhāna
SA_T02_Muniśrībhadra_Pañcakrama-Yogimanoharā_Jiang-Tomabechi_1996	14	801	722	919	
SA_T11_bsa0555u	2	801	794	808	Sāmānyadūṣaṇadikprasāritā
SA_T11_n2848u	4	802	757	875	Bauddha manīṣā- Bauddheṣu Pramāṇamīmāṃsā
SA_GK19_bhago	21	802	718	926	Bhaj-Govindam
SA_GSD36_angirspu	28	804	663	900	Āṅgirasasmṛti
SA_T02_garbhasamgraha	1	805	805	805	Garbhasaṃgraha
SA_T02_n1414u	7	805	647	867	Śrīvajravārāhīsādhana
SA_MB_saadhanamaalaa-IIHK	47	806	715	916	benoytosh bhattacharya: sādhanamālā Vol. 2
SA_T02_n1397u	3	806	761	922	Guhyavajravilāsinīsādhana
SA_MB_diiksaaprakaasaHK	34	806	608	935	raghunandanaprasāda śukla: dīkṣāprakāśa
SA_MB_saktisamgama_sundarikhandaHK	39	806	697	901	Unknown: śaktisaṃgamatantra sundarīkhanda
SA_MB_tripuraarahasyamHK	52	807	709	902	Unknown: tripurārahasya māhatmyakaṇḍham
SA_MB_jnanasaraHK	2	809	786	831	Unknown: jñānasāra
SA_GR13_cakbh_pu	1	809	809	809	Cakrapāṇinātha: Bhāvopahārastotra
SA_GSP33_brssgo4u	24	809	217	938	Brahmasūtra: Adhyāya 4
SA_MB_mahotsavavidhikramaHK	11	809	763	853	aghoraśiva: mahotsavavidhikrama
SA_GSP31_jaymangu	21	809	753	893	Sāṃkhyakārikā [Sāṃkhyasaptati]
SA_GK16_vamkalvu	23	809	792	829	Kāvyālaṅkārasūtra
SA_T14_bsu059_u	2	810	752	867	Samyaksambuddhabhāṣita pratimālakṣaṇa
SA_GSP28_prakp06u	9	810	795	950	Prakaraṇapañcikā: Prakaraṇa 6
SA_GSP33_mbrahsiu	61	810	704	893	Brahmasiddhi
SA_GSP33_brasi	42	810	745	889	Brahmasiddhi
SA_MB_pranotisini_6_HK	114	811	689	921	rāmatoṣaṇa compiler: prāṇatoṣiṇī part 6
SA_T11_bsa0556u	2	811	796	826	Antarvyāptisamarthana
SA_GSP28_prakp09u	3	811	771	882	Prakaraṇapañcikā: Prakaraṇa 9
SA_MB_T-334-sarvajnanottaramHK	29	811	550	953	Unknown: sarvajñānottara
SA_MB_phe.takapratis.thacandikagnividhiHK	25	812	739	915	Unknown: pheṭakapratiṣṭhācaṇḍikāgnividhi
SA_T11_dhkvadnu	17	812	675	924	Vādanyāya
SA_MB_kamkaalamaaliniitantraHK	11	813	701	874	Unknown: kaṅkālamālinītantra
SA_T11_n1242u	9	813	795	853	Nyāyabinduṭīkāṭippaṇī
SA_MB_Pranatosini_5_BhaktiKandaHK	27	813	653	916	rāmatoṣaṇa compiler: prāṇatoṣiṇī bhaktikāṇḍa
SA_MB_brhattantrasaaraHK	232	813	666	978	kṛṣṇānanda āgamavāgiśa: brhattantrasāra
SA_GSD36_ys182_pu	4	814	719	912	Bṛhadyamasmṛti
SA_MB_DeviirahasyaHK	129	814	688	922	Unknown: devīrahasya
SA_T07_vabhdiku	12	815	689	884	Abhidharmadīpakārikā
SA_GSP31_tsc_simu	8	815	669	1026	Sāṃkhyatattvavivecana
SA_MB_saubhagyataranginiHK	28	817	738	903	mukunda: saubhāgyataraṅgiṇī
SA_GK22_msubhs	206	819	699	901	Mahāsubhāṣitasaṅgraha
SA_GR13_goramaru	2	819	751	887	Āmaraughaśāsana
SA_MB_mantrakaumudiiHK	46	819	737	873	devanātha thakkur: mantrakaumudii
SA_GSP28_prakp10u	3	819	789	843	Prakaraṇapañcikā: Prakaraṇa 10
SA_T11_dhkprviu	1	819	819	819	Pramāṇaviniścaya
SA_T11_dhkhetuu	10	820	743	900	Hetubindu
SA_GS40_yogasatu	3	820	736	822	Yogaśataka
SA_T02_Prabhākaragupta-Śiromaṇi_Adhyātmasāraśatakaṭīkā_Dhīḥ_1998	21	821	716	952	
SA_MB_urdhvamnayadamanarohanapaddhatiHK	6	821	649	927	Unknown: urddhvāmnāya damanārohaṇapaddhati
SA_GSP33_mndvivpu	3	821	811	832	Vibhramaviveka
SA_GSP28_prakp03u	2	822	815	828	Prakaraṇapañcikā: Prakaraṇa 3
SA_T17_sabhivpu	5	822	641	841	Sabhikasaugataśāsanapravrajyāvratacaraṇaparivarta
SA_GK19_japa	84	822	684	913	Jānaki Pariṇaya
SA_MB_paramesvariitantraHK	70	822	706	899	Unknown: parameśvarīmatatantra
SA_GSD36_mitaksara	206	822	670	993	Mitākṣarā, a commentary on the Yājñavalkya-dharmaśāstra
SA_GSP28_tantrava	105	822	719	897	Mīmāṃsāsūtra Tantravarttika
SA_T11_n2992u	21	822	768	918	Viśālāmalavatī Pramāṇasamuccayaṭīkā
SA_T11_n1226u	42	822	765	903	Vādanyāyaṭīkā
SA_T02_Candrakīrti_Pradīpoddyotana-Guhyasamājatantra_Dhīḥ_2009	12	822	724	915	
SA_MB_maahesvaratantramHK	65	823	716	953	Unknown: māheśvaratantra
SA_T03_kamvchtu	31	823	736	867	Prajñāpāramitāvajracchedikāṭīkā
SA_MB_saktisamgama_tantra_tarakhandaHK	46	823	654	995	Unknown: śaktisaṃgamatantra tārākhanda
SA_GSP28_sastrdiu	35	823	770	914	Śāstradīpikā
SA_T01_n878u	1	824	824	824	Śākyasiṃhastotra: viṣṇukṛtam
SA_GSP33_brssgo3u	68	824	431	983	Brahmasūtra: Adhyāya 3
SA_MB_kriyakalagunottaramHK	39	824	558	946	Unknown: kriyākālaguṇottara
SA_T01_n868u	1	825	825	825	Buddhabhaṭṭārakastotra
SA_MB_NigamasaranirnayaHK	52	825	709	972	<ramAramaNadeva: nigamasāranirṇaya
SA_T01_n890u	1	825	825	825	Svayaṃbhūstava
SA_MB_bhutasuddhitantra-HK	12	826	761	863	Unknown: bhūtaśuddhitantra
SA_GK19_gu05-06u	9	827	782	880	Gopālacampū: Uttaracampū, 5-6
SA_MB_nirvanatantraHK	10	827	752	978	Unknown: nirvaṇatantra
SA_GK19_gu29___u	5	828	781	1023	Gopālacampū: Uttaracampū, 29
SA_GK19_jivskd_u	17	828	703	972	Saṅkalpakalpadruma
SA_K01_n2894u	1	828	828	828	Saddharmapārājikā
SA_MB_siddhalaksmipujapaddhatiHK	7	828	732	885	Unknown: siddhalakṣṃīpūjāpaddhati
