work	source	n_chunks	ling_est	nb	na	post_median	crI_lo95	crI_hi95	title
SA_MB_kriyaasaara2HK	anchor	138	797	1300.0	1499.0	1365	1249	1483	nīlakaṇṭha: kriyāsāra volume 2
SA_MB_stutikusumaanjaliHK	anchor	65	832	1300.0	1500.0	1368	1250	1484	jagaddhara bhaṭṭa: stutikusumāñjali
SA_MB_kriyasaraHK	anchor	55	847	1300.0	1499.0	1369	1253	1487	nīlakaṇṭha: kriyāsāra volume 1
SA_GSP33_jimuvi	anchor	125	887	1350.0	1400.0	1370	1322	1418	Jīvanmuktiviveka
SA_GSP36_sadha	anchor	44	949	1370.0	1380.0	1370	1322	1420	Sarva-darśana-saṃgraha
SA_GSP34_hathyopu	anchor	9	788	1300.0	1499.0	1375	1258	1492	Haṭhayogapradīpikā
SA_T01_n867u	anchor	5	746	1300.0	1499.0	1375	1254	1493	Bhaktiśataka
SA_GSP31_samkhsuu	anchor	11	943	1300.0	1499.0	1377	1258	1494	Sāṃkhyasūtra
SA_MB_srividyarnavatantramHK	anchor	281	859	1300.0	1599.0	1379	1210	1540	śrīvidyāraṇyayati: śrīvidyārṇavatantra
SA_GK16_vcamkc_u	anchor	32	1035	1350.0	1420.0	1381	1331	1430	Camatkāracandrikā
SA_MB_SriikarabhaashyacombinedHK	anchor	217	880	1350.0	1450.0	1394	1332	1452	śrīpati: śrīkarabhāsya
SA_MB_kramadipikaHK	anchor	17	775	1400.0	1499.0	1442	1383	1499	śrīrasikamohana caṭṭopādhyāya: kramadīpikā
SA_GK19_uddkokpu	anchor	4	707	1400.0	1499.0	1443	1385	1502	Kokilasandeśa
SA_MB_hathayogapradiipikaaHK	anchor	51	1169	1400.0	1499.0	1444	1384	1502	svātmārāma: haṭhayogapradīpikā
SA_GSP33_vesa	anchor	130	1054	1425.0	1475.0	1445	1398	1494	Vedāntasāra
SA_GR14_jnass01u	anchor	21	553	1400.0	1550.0	1450	1363	1538	Jñānāmṛtasāra-Saṃhitā [Nārada-Pañcarātra]
